Ball Number,Score,Comment
18.2,4,"Shafiul Islam to Alauddin Babu, Four, Four !! fast ball, fulltoss, on the off stump. Alauddin Babu goes back, hits inside out shot in the gap towards deep cover, and ball finds the ropes in a flash for four."
18.1,1,"Shafiul Islam to Shubham Ranjane, 1 run, An accurately pitched fast ball on the off stump, Shubham Ranjane goes forward to make a confident push, sending the ball towards long off for 1 run."
17.6,0,"Ryan Burl to Alauddin Babu, no run, Dot ball !! , good length, on the off stump, Ryan Burl bowls a sharp delivery, and Alauddin Babu goes back to defend the ball, but the ball nips away and beats the bat, leaving the batter stranded."
17.5,1,"Ryan Burl to Shubham Ranjane, 1 run, off break ball, good length, on the off stump, goes back, plays cut, towards the point for 1 run."
17.4,4,"Ryan Burl to Shubham Ranjane, Four, Four !! arm ball, good length, on the off stump. Shubham Ranjane goes forward, hits cut in the gap towards deep point, and ball finds the ropes in a flash for four."
17.3,6,"Ryan Burl to Shubham Ranjane, Six, Six !! What a delivery! legbreak lands right on the stumps, Shubham Ranjane goes forward, exhibits impeccable timing as batter hammers sloge sweep sending it flying to the deep mid wicket region for a remarkable Maximum!"
17.2,4,"Ryan Burl to Shubham Ranjane, Four, Four !! off break ball, full length, on the off stump. Shubham Ranjane goes forward, hits drive in the gap towards deep cover, and ball finds the ropes in a flash for four."
17.1,1,"Ryan Burl to Alauddin Babu, 1 run, off break ball, full length, on the off stump, goes forward, plays push, towards the long off for 1 run."
16.6,1,"Taskin Ahmed to Alauddin Babu, 1 run, An accurately pitched fast ball on the off stump, Alauddin Babu goes forward to make a confident defensive shot, sending the ball towards short cover for 1 run."
16.5,W,"Taskin Ahmed to Chaturanga de Silva, no run, c A Ali b T Ahmed, Caught out !! outswinger, back of length, on the off stump, Chaturanga De Silva goes back and takes a big risk by attempting cut towards slip, edged!! and flies straight to Akbar Ali, who displays excellent fielding skills to complete the catch, resulting in the dismissal of Chaturanga De Silva. c A Ali b T Ahmed"
16.4,0,"Taskin Ahmed to Chaturanga de Silva, no run, Dot ball !! outswinger, good length, on the off stump, Chaturanga De Silva goes forward to the delivery, letting it go to the keeper without offering a shot."
16.3,1,"Taskin Ahmed to Shubham Ranjane, 1 run, Shubham Ranjane goes back to take fast ball of back of length aimed on the stumps, executing a confident pull that sent the ball sailing towards deep square leg for 1 run."
16.2,1,"Taskin Ahmed to Chaturanga de Silva, 1 run, fast ball, good length, on the stumps, goes forward, plays defensive shot, towards the point for 1 run."
16.1,W,"Taskin Ahmed to Shahadat Hossain, no run, c RP Burl b T Ahmed, Caught out !! fast ball, full length, on the off stump, Shahadat Hossain goes forward, tries a high-risk shot towards long on, but the ball finds safe hands of Ryan Burl, who makes no mistake in taking the catch. Shahadat Hossain is out. c RP Burl b T Ahmed"
